SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;DS_GENERO;DS_COR_RACA;ST_REELEICAO
RR;RORAIMA;DEPUTADO ESTADUAL;230001611120;50555;THOMÁS CORREA;DEFERIDO;MASCULINO;PRETA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001605891;19111;ODILON;DEFERIDO;MASCULINO;BRANCA;S
RR;RORAIMA;DEPUTADO FEDERAL;230001595281;4444;NICOLETTI;DEFERIDO;MASCULINO;BRANCA;S
RR;RORAIMA;DEPUTADO FEDERAL;230001602814;1555;PAULINHO LINHARES;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001610810;1818;JOENIA WAPICHANA;DEFERIDO;FEMININO;INDÍGENA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001600104;9011;KIKA SAUDE;DEFERIDO;FEMININO;BRANCA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001714014;1210;ROGERIO MIRANDA;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001643486;7777;OTTACI;INDEFERIDO COM RECURSO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604267;22190;CORONEL FRAZÃO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001611109;51111;ROBSON DE PAULA;INDEFERIDO COM RECURSO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001595303;44123;JANUS MOREIRA;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602816;15315;KELIANE BARROS;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604218;40789;CHRIS DO BLUSÃO;DEFERIDO;MASCULINO;PRETA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001611087;33190;SARGENTO ANTONIO NETO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001611096;5151;REIJANE CARVALHO;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001714076;12123;MARIA BARROSO;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001734585;13001;VALDILSON O PINK;DEFERIDO;MASCULINO;PRETA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604247;11333;PASTOR ADRIAO NASCIMENTO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001605868;1940;LUANA KARMINY;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001643504;77567;PALHAÇO XUXU;INDEFERIDO COM RECURSO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001611116;18333;FÁTIMA OLIVEIRA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001600149;5555;ZÉ HAROLDO CATHEDRAL;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001595294;44144;SANDRA LIMA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001605888;19555;CHAGAS ENFERMEIRO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600186;20500;FRANCISCO SOARES;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001604228;1144;DOUTOR JOEL;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001714067;12111;TONI FERREIRA;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;SENADOR;230001602198;156;ROMERO JUCÁ;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001604227;1155;PROFESSOR ADEJALMO;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001602191;2888;MAYCON CÂNDIDO;INDEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600058;10333;PROF JONATHAS GAROTINHO;RENÚNCIA;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600057;10999;IVO SOM;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600140;35999;ROGÉRIO MARTINS;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001643513;77193;IVANILDE NASCIMENTO;INDEFERIDO COM RECURSO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602229;55190;JEFERSON BATISTA;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001604285;2215;GLEYCE MOTA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001671303;14444;DUNGA MOURA;DEFERIDO;MASCULINO;INDÍGENA;N
